Update Title,Update Type,Client,Assigned too,Created time
Account Check in,Routine Checks,Memsaab,"Ky ","January 8, 2025 12:00 PM"
Google rep call,Routine Checks,Beds Online,"Ky ","January 8, 2025 10:33 AM"
"{{Placeholder}} ",,,"Ky ","January 8, 2025 8:58 AM"
Account handover,Routine Checks,LP Metal Detecting,"Ky ","January 6, 2025 3:32 PM"
"Google meeting ",Other,Spin a Disc,"Ky ","January 3, 2025 2:50 PM"
Google meeting,Other,Comodo Living,"Ky ","January 3, 2025 2:28 PM"
Budget Adjustments - Google,Reactive,Comodo Living,"Ky ","December 24, 2024 3:34 PM"
"Xmas Break budget adjustments ",,,"Ky ","December 23, 2024 2:11 PM"
Test log,Ad upload,Ted Baker,"Ky ","December 23, 2024 1:45 PM"
Decline in purchases - potential reasoning,Other,Comodo Living,"Ky ","December 23, 2024 11:57 AM"
EOY Sale,Routine Checks,Scotch & Soda,"Ky ","December 20, 2024 8:32 AM"
Scotch & Soda - New Store ads,Routine Checks,Scotch & Soda,"Ky ","December 19, 2024 2:51 PM"
Memsaab update - Post Daba campaign turn on.,Flag check,Memsaab,"Ky ","December 16, 2024 11:46 AM"
Bed Online,,,"Ky ","December 12, 2024 3:49 PM"
Budget updates and store revenue,Routine Checks,Scotch & Soda,"Ky ","December 10, 2024 2:10 PM"
Everest beds budget update,Routine Checks,Everest Beds,"Ky ","December 10, 2024 1:21 PM"
"Budget updates, performance review and next steps",Routine Checks,Comodo Living,"Ky ","December 10, 2024 11:33 AM"
"December media planning, budgets & Testing",Routine Checks,Ark Wildlife,"Ky ","December 10, 2024 10:50 AM"
Data - Situational Analysis,Data Quality,Ted Baker,"Ky ","December 10, 2024 9:49 AM"
Over inflated meta results,Data Quality,Spin a Disc,"Ky ","December 9, 2024 1:48 PM"
Xmas Gift Guide creative upload + Budget updates,Ad upload,Spin a Disc,"Ky ","December 9, 2024 1:33 PM"
Meta ROAS Flag,Reactive,Memsaab,"Ky ","December 9, 2024 9:53 AM"
Move towards a 6x ROAS,Reactive,domli,"Ky ","December 6, 2024 3:03 PM"
Last 14 days recap,Routine Checks,Beds Online,"Ky ","December 5, 2024 2:59 PM"
Last 14 days performance reveiw,Routine Checks,The Somerset Grill,"Ky ","December 5, 2024 2:44 PM"
Account check,Routine Checks,Memsaab,"Ky ","December 5, 2024 1:48 PM"
New ad upload WINT24,Routine Checks,Ark Wildlife,"Ky ","December 5, 2024 1:41 PM"
"2025 Q1 forecasting and media planning ",Routine Checks,Scotch & Soda,"Ky ","December 5, 2024 10:53 AM"
Budget updates - dropped to 35k,Reactive,Everest Beds,"Ky ","December 5, 2024 10:24 AM"
Meta performance,Routine Checks,Ark Wildlife,"Ky ","December 4, 2024 9:24 AM"
Budget update,Routine Checks,Chic Concept,"Ky ","December 3, 2024 2:49 PM"
TEST,Routine Checks,domli,"Ky ","December 3, 2024 2:21 PM"
BFCM Revert,Other,toffeln,Ben Rix,"December 3, 2024 1:26 PM"
Post BF,Routine Checks,domli,"Ky ","December 3, 2024 11:05 AM"
BF Budgets and ads adjustments,Other,Everest Beds,"Ky ","December 3, 2024 10:08 AM"
Tagging update and debug,Reactive,Beds Online,"Ky ","December 2, 2024 2:44 PM"
Google ads changes and performance,Reactive,Beds Online,"Ky ","December 2, 2024 2:44 PM"
New Grill launch,Reactive,The Somerset Grill,"Ky ","December 2, 2024 2:34 PM"
27th November,Routine Checks,Comodo Living,"Ky ","November 27, 2024 1:36 PM"
Ad uploads,Reactive,Hilditch & Key,"Ky ","November 19, 2024 2:50 PM"
Update,Routine Checks,Hilditch & Key,"Ky ","November 18, 2024 2:59 PM"
1st November,Routine Checks,Comodo Living,"Ky ","November 1, 2024 10:58 AM"
