Update Title,Client,Update Type,Created time
Account Check in,Memsaab,Routine Checks,"January 8, 2025 12:00 PM"
Google rep call,Beds Online,Routine Checks,"January 8, 2025 10:33 AM"
"{{Placeholder}} ",,,"January 8, 2025 8:58 AM"
Account handover,LP Metal Detecting,Routine Checks,"January 6, 2025 3:32 PM"
"Google meeting ",Spin a Disc,Other,"January 3, 2025 2:50 PM"
Google meeting,Comodo Living,Other,"January 3, 2025 2:28 PM"
Budget Adjustments - Google,Comodo Living,Reactive,"December 24, 2024 3:34 PM"
"Xmas Break budget adjustments ",,,"December 23, 2024 2:11 PM"
Test log,Ted Baker,Ad upload,"December 23, 2024 1:45 PM"
Decline in purchases - potential reasoning,Comodo Living,Other,"December 23, 2024 11:57 AM"
EOY Sale,Scotch & Soda,Routine Checks,"December 20, 2024 8:32 AM"
Scotch & Soda - New Store ads,Scotch & Soda,Routine Checks,"December 19, 2024 2:51 PM"
Memsaab update - Post Daba campaign turn on.,Memsaab,Flag check,"December 16, 2024 11:46 AM"
Bed Online,,,"December 12, 2024 3:49 PM"
Budget updates and store revenue,Scotch & Soda,Routine Checks,"December 10, 2024 2:10 PM"
Everest beds budget update,Everest Beds,Routine Checks,"December 10, 2024 1:21 PM"
"Budget updates, performance review and next steps",Comodo Living,Routine Checks,"December 10, 2024 11:33 AM"
"December media planning, budgets & Testing",Ark Wildlife,Routine Checks,"December 10, 2024 10:50 AM"
Data - Situational Analysis,Ted Baker,Data Quality,"December 10, 2024 9:49 AM"
Over inflated meta results,Spin a Disc,Data Quality,"December 9, 2024 1:48 PM"
Xmas Gift Guide creative upload + Budget updates,Spin a Disc,Ad upload,"December 9, 2024 1:33 PM"
Meta ROAS Flag,Memsaab,Reactive,"December 9, 2024 9:53 AM"
Move towards a 6x ROAS,domli,Reactive,"December 6, 2024 3:03 PM"
Last 14 days recap,Beds Online,Routine Checks,"December 5, 2024 2:59 PM"
Last 14 days performance reveiw,The Somerset Grill,Routine Checks,"December 5, 2024 2:44 PM"
Account check,Memsaab,Routine Checks,"December 5, 2024 1:48 PM"
New ad upload WINT24,Ark Wildlife,Routine Checks,"December 5, 2024 1:41 PM"
"2025 Q1 forecasting and media planning ",Scotch & Soda,Routine Checks,"December 5, 2024 10:53 AM"
Budget updates - dropped to 35k,Everest Beds,Reactive,"December 5, 2024 10:24 AM"
Meta performance,Ark Wildlife,Routine Checks,"December 4, 2024 9:24 AM"
Budget update,Chic Concept,Routine Checks,"December 3, 2024 2:49 PM"
TEST,domli,Routine Checks,"December 3, 2024 2:21 PM"
Post BF,domli,Routine Checks,"December 3, 2024 11:05 AM"
BF Budgets and ads adjustments,Everest Beds,Other,"December 3, 2024 10:08 AM"
Tagging update and debug,Beds Online,Reactive,"December 2, 2024 2:44 PM"
Google ads changes and performance,Beds Online,Reactive,"December 2, 2024 2:44 PM"
New Grill launch,The Somerset Grill,Reactive,"December 2, 2024 2:34 PM"
27th November,Comodo Living,Routine Checks,"November 27, 2024 1:36 PM"
Ad uploads,Hilditch & Key,Reactive,"November 19, 2024 2:50 PM"
Update,Hilditch & Key,Routine Checks,"November 18, 2024 2:59 PM"
1st November,Comodo Living,Routine Checks,"November 1, 2024 10:58 AM"
