Name,Google - Final URL Suffix,Google Tracking Template,Meta UTM,Google Ads,Media plan,Meta Ads Manager,Pintrest,Platforms,Website,Account Manager,Client Portal,Created by,Created time,Date,Figma File,Last edited by,Last edited time,Media Plan - GDRIVE,Monthly Budget,Paid Media Manager,TikTok Ads Manager,To Do List - Master,Tools we work with KBX - MASTER
Vintage Sofa,"utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword}&utm_device={device}&utm_network={network}&utm_placement={placement}&utm_matchtype={matchtype}
","{lpurl}?gclid={gclid}
","utm_source=facebook&utm_medium=paid_social&utm_campaign={{http://campaign.id/}}&utm_content={{http://ad.id/}}&utm_term={{http://adset.id/}}&utm_platform={{site_source_name}}&utm_device={{device_type}}&utm_placement={{placement}}
",,,,,,,,,"Ky ","December 5, 2024 9:46 AM",,,"Ky ","December 5, 2024 9:50 AM",,,Ben Rix,,,Google Merchant Center (https://www.notion.so/Google-Merchant-Center-14e7dee22b1780d18565d6ea0b5fd1d7?pvs=21)
MedTree,"utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword}&utm_device={device}&utm_network={network}&utm_placement={placement}&utm_matchtype={matchtype}
","{lpurl}?gclid={gclid}
","utm_source=facebook&utm_medium=paid_social&utm_campaign={{http://campaign.id/}}&utm_content={{http://ad.id/}}&utm_term={{http://adset.id/}}&utm_platform={{site_source_name}}&utm_device={{device_type}}&utm_placement={{placement}}
",,,,,"Google, Meta",,Monika,,"Ky ","December 5, 2024 9:46 AM",,,"Ky ","December 5, 2024 9:50 AM",,,Ben Rix,,,Google Merchant Center (https://www.notion.so/Google-Merchant-Center-14e7dee22b1780d18565d6ea0b5fd1d7?pvs=21)
Toffeln,"utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword}&utm_device={device}&utm_network={network}&utm_placement={placement}&utm_matchtype={matchtype}
","{lpurl}?gclid={gclid}
","utm_source=facebook&utm_medium=paid_social&utm_campaign={{http://campaign.id/}}&utm_content={{http://ad.id/}}&utm_term={{http://adset.id/}}&utm_platform={{site_source_name}}&utm_device={{device_type}}&utm_placement={{placement}}
",,,,,Google,toffeln.shop,Peter,,"Ky ","December 5, 2024 9:46 AM",,,"Ky ","December 5, 2024 9:50 AM",,,Ben Rix,,,Google Merchant Center (https://www.notion.so/Google-Merchant-Center-14e7dee22b1780d18565d6ea0b5fd1d7?pvs=21)
Beedspeed,"utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword}&utm_device={device}&utm_network={network}&utm_placement={placement}&utm_matchtype={matchtype}
","{lpurl}?gclid={gclid}
","utm_source=facebook&utm_medium=paid_social&utm_campaign={{http://campaign.id/}}&utm_content={{http://ad.id/}}&utm_term={{http://adset.id/}}&utm_platform={{site_source_name}}&utm_device={{device_type}}&utm_placement={{placement}}
",,,,,,,,,"Ky ","December 5, 2024 9:46 AM",,,Ben Rix,"January 8, 2025 7:25 AM",,,Ben Rix,,,Google Merchant Center (https://www.notion.so/Google-Merchant-Center-14e7dee22b1780d18565d6ea0b5fd1d7?pvs=21)
Aapas,"utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword}&utm_device={device}&utm_network={network}&utm_placement={placement}&utm_matchtype={matchtype}
","{lpurl}?gclid={gclid}
","utm_source=facebook&utm_medium=paid_social&utm_campaign={{http://campaign.id/}}&utm_content={{http://ad.id/}}&utm_term={{http://adset.id/}}&utm_platform={{site_source_name}}&utm_device={{device_type}}&utm_placement={{placement}}
",,,,,,,,,"Ky ","November 27, 2024 4:30 PM",,,"Ky ","December 24, 2024 3:09 PM",,,,,,Google Merchant Center (https://www.notion.so/Google-Merchant-Center-14e7dee22b1780d18565d6ea0b5fd1d7?pvs=21)
Comodo Living,"utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword}&utm_device={device}&utm_network={network}&utm_placement={placement}&utm_matchtype={matchtype}
","{lpurl}?gclid={gclid}
","utm_source=facebook&utm_medium=paid_social&utm_campaign={{http://campaign.id/}}&utm_content={{http://ad.id/}}&utm_term={{http://adset.id/}}&utm_platform={{site_source_name}}&utm_device={{device_type}}&utm_placement={{placement}}
",https://ads.google.com/aw/campaigns?ocid=1449008835&ascid=1449008835&euid=1226364206&__u=2038040894&uscid=196141627&__c=1094476323&authuser=0&subid=gb-en-ha-aw-bk-c-bau%21o3~Cj0KCQjw-5y1BhC-ARIsAAM_oKniLo7ehwFBPNsckA2kolwSqyN5VudC86vGiJp-1mm_--1yVqxiz3oaAlhBEALw_wcB~145767355323~kwd-5934196923~19699786961~648419065116,https://docs.google.com/spreadsheets/d/1GlXwhz2igK3UiZLwvKIxAbcLiDhbF-AWGy9xCpmmPsA/edit?gid=545784404#gid=545784404,https://adsmanager.facebook.com/adsmanager/manage/campaigns?act=736858281138018&business_id=1736258106631434&nav_entry_point=ads_ecosystem_navigation_menu&date=2024-10-18_2024-11-01%2Clast_14d&insights_date=2024-10-18_2024-11-01%2Clast_14d&breakdown_regrouping=1&nav_source=ads_manager,"https://ads.pinterest.com/advertiser/549767650880/reporting/campaigns/?message=EDITS_SAVED&redirectSource=NONE&campaignFilter=RUNNING%2CPAUSED%2CNOT_STARTED%2CCOMPLETED&campaignFilterUpdated=false&adGroupFilter=RUNNING%2CPAUSED%2CNOT_STARTED%2CCOMPLETED&adGroupFilterUpdated=false&adFilter=APPROVED%2CPENDING%2CPAUSED%2CREJECTED&adFilterUpdated=false&adFormatFilter=all&adFormatFilterUpdated=false&productGroupFilter=RUNNING%2CPAUSED%2CEXCLUDED&productGroupFilterUpdated=false&objectiveTypes=[AWARENESS,CONSIDERATION,CATALOG_SALES,WEB_CONVERSION,VIDEO_VIEW,VIDEO_COMPLETION]&objectiveTypesUpdated=false&customFilters=none&deliveryFilter=true&end_date=2024-11-01&start_date=2024-10-25&granularity=daily&attributionWindow=7%2F1%2F1&conversionReportDate=AD_EVENT&limit=100&bookmark=1&reportingViewId=6116036716885&lineone=SPEND_IN_DOLLAR&linetwo=TOTAL_IMPRESSION","Google, Meta, Pintrest",https://www.comodoliving.co.uk/,,Comodo Living (https://www.notion.so/Comodo-Living-14e7dee22b178121b899d3fd37cee6ea?pvs=21),"Ky ","December 5, 2024 9:46 AM",,,"Ky ","December 24, 2024 3:38 PM",Comodo Living Media Plan | 2025 (Client%20Database%20-%20Master%2012f7dee22b178048a742db6adad4ea72/Comodo%20Living%20Media%20Plan%202025%201667dee22b178043a047fe95df37b12c.csv),,"Ky ",,Check spend (https://www.notion.so/Check-spend-1517dee22b1780bc8fa7c751ef71f9ff?pvs=21),"Elevar (https://www.notion.so/Elevar-14e7dee22b1780fda31af2ebb5d25f10?pvs=21), Google Merchant Center (https://www.notion.so/Google-Merchant-Center-14e7dee22b1780d18565d6ea0b5fd1d7?pvs=21), Mixpanel (https://www.notion.so/Mixpanel-14d7dee22b1781be9092d3b797128d94?pvs=21)"
Hawkinsport,"utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword}&utm_device={device}&utm_network={network}&utm_placement={placement}&utm_matchtype={matchtype}
","{lpurl}?gclid={gclid}
","utm_source=facebook&utm_medium=paid_social&utm_campaign={{http://campaign.id/}}&utm_content={{http://ad.id/}}&utm_term={{http://adset.id/}}&utm_platform={{site_source_name}}&utm_device={{device_type}}&utm_placement={{placement}}
",,,,,,,,,"Ky ","December 5, 2024 9:46 AM",,,"Ky ","December 5, 2024 9:50 AM",,,,,,Google Merchant Center (https://www.notion.so/Google-Merchant-Center-14e7dee22b1780d18565d6ea0b5fd1d7?pvs=21)
Scotch & Soda,"utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword}&utm_device={device}&utm_network={network}&utm_placement={placement}&utm_matchtype={matchtype}
","{lpurl}?gclid={gclid}
","utm_source=facebook&utm_medium=paid_social&utm_campaign={{http://campaign.id/}}&utm_content={{http://ad.id/}}&utm_term={{http://adset.id/}}&utm_platform={{site_source_name}}&utm_device={{device_type}}&utm_placement={{placement}}
",https://ads.google.com/aw/overview?ocid=6772838628&ascid=6772838628&euid=1226364206&__u=2038040894&uscid=196141627&__c=1094476323&authuser=0&subid=gb-en-ha-aw-bk-c-bau%21o3~Cj0KCQjw-5y1BhC-ARIsAAM_oKniLo7ehwFBPNsckA2kolwSqyN5VudC86vGiJp-1mm_--1yVqxiz3oaAlhBEALw_wcB~145767355323~kwd-5934196923~19699786961~648419065116,https://docs.google.com/spreadsheets/d/1mQHbHGTBlAyzG2gMa4_pEsIouUeclmAzn4o-7l7oWLE/edit?gid=0#gid=0,https://adsmanager.facebook.com/adsmanager/manage/campaigns?act=10152934784582623&business_id=1736258106631434&global_scope_id=1736258106631434&nav_entry_point=am_local_scope_selector&columns=name%2Cdelivery%2Crecommendations_guidance%2Cattribution_setting%2Cresults%2Creach%2Cfrequency%2Ccost_per_result%2Cbudget%2Cspend%2Cend_time%2Cschedule%2Cquality_score_organic%2Cquality_score_ectr%2Cquality_score_ecvr%2Cimpressions%2Ccpm%2Cactions%3Alink_click%2Ccost_per_action_type%3Alink_click%2Cwebsite_ctr%3Alink_click%2Cclicks%2Cctr%2Ccpc%2Cactions%3Aomni_purchase%2Caction_values%3Aomni_purchase%2Ccost_per_action_type%3Aomni_purchase%2Cpurchase_roas%3Aomni_purchase%2Cwebsite_purchase_roas%3Aoffsite_conversion.fb_pixel_purchase%2Cmobile_app_purchase_roas%3Aapp_custom_event.fb_mobile_purchase%2Cconversions%3Aoffsite_conversion.fb_pixel_custom.PurchaseExistingCustomer%2Cconversions%3Aoffsite_conversion.fb_pixel_custom.PurchaseNewCustomer%2Ccost_per_conversion%3Aoffsite_conversion.fb_pixel_custom.PurchaseExistingCustomer%2Ccost_per_conversion%3Aoffsite_conversion.fb_pixel_custom.PurchaseNewCustomer%2Cactions%3Aoffsite_conversion.custom.802674605082327%2Cactions%3Aoffsite_conversion.custom.2802582679895989%2Ccost_per_action_type%3Aoffsite_conversion.custom.802674605082327%2Ccost_per_action_type%3Aoffsite_conversion.custom.2802582679895989%2Cactions%3Aoffsite_conversion.custom.1028396385962454&date=2024-11-01_2024-11-19%2Cthis_month&comparison_date=2024-10-01_2024-10-19%2CPREVIOUS_MONTH&insights_date=2024-11-01_2024-11-19%2Cthis_month&insights_comparison_date=2024-10-01_2024-10-19%2CPREVIOUS_MONTH&is_reload_from_account_change&breakdown_regrouping=true&nav_source=no_referrer,https://docs.google.com/spreadsheets/d/1mQHbHGTBlAyzG2gMa4_pEsIouUeclmAzn4o-7l7oWLE/edit?gid=0#gid=0,"Google, Meta",https://scotch-soda.eu/,Peter,,"Ky ","December 5, 2024 9:46 AM",,,"Ky ","December 5, 2024 1:45 PM",,,"Ky ",,Check spend (https://www.notion.so/Check-spend-1517dee22b1780c19558e3134a6f3225?pvs=21),"Elevar (https://www.notion.so/Elevar-14e7dee22b1780fda31af2ebb5d25f10?pvs=21), Google Merchant Center (https://www.notion.so/Google-Merchant-Center-14e7dee22b1780d18565d6ea0b5fd1d7?pvs=21)"
The Somerset Grill,"utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword}&utm_device={device}&utm_network={network}&utm_placement={placement}&utm_matchtype={matchtype}
","{lpurl}?gclid={gclid}
","utm_source=facebook&utm_medium=paid_social&utm_campaign={{http://campaign.id/}}&utm_content={{http://ad.id/}}&utm_term={{http://adset.id/}}&utm_platform={{site_source_name}}&utm_device={{device_type}}&utm_placement={{placement}}
",,,,,"Google, Meta",,Peter,,"Ky ","December 5, 2024 9:46 AM",,,"Ky ","December 5, 2024 1:48 PM",,,"Ky ",,Check spend (https://www.notion.so/Check-spend-1517dee22b178084b68adbce568e60f5?pvs=21),"Elevar (https://www.notion.so/Elevar-14e7dee22b1780fda31af2ebb5d25f10?pvs=21), Google Merchant Center (https://www.notion.so/Google-Merchant-Center-14e7dee22b1780d18565d6ea0b5fd1d7?pvs=21)"
Chic Concept,"utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword}&utm_device={device}&utm_network={network}&utm_placement={placement}&utm_matchtype={matchtype}
","{lpurl}?gclid={gclid}
","utm_source=facebook&utm_medium=paid_social&utm_campaign={{http://campaign.id/}}&utm_content={{http://ad.id/}}&utm_term={{http://adset.id/}}&utm_platform={{site_source_name}}&utm_device={{device_type}}&utm_placement={{placement}}
",https://ads.google.com/aw/campaigns?ocid=229807143&ascid=229807143&euid=1226364206&__u=2038040894&uscid=196141627&__c=1094476323&authuser=0&subid=gb-en-ha-aw-bk-c-bau%21o3~Cj0KCQjw-5y1BhC-ARIsAAM_oKniLo7ehwFBPNsckA2kolwSqyN5VudC86vGiJp-1mm_--1yVqxiz3oaAlhBEALw_wcB~145767355323~kwd-5934196923~19699786961~648419065116,https://docs.google.com/spreadsheets/d/1XcV12yAEvwCGiRlMWXsInh8KvIebtxcYFnkJ2fa2EFw/edit?gid=1188037966#gid=1188037966,,,Google,https://chicconcept.co.uk/,Peter,,"Ky ","December 5, 2024 9:46 AM",,,"Ky ","December 5, 2024 1:48 PM",,,"Ky ",,Check spend (https://www.notion.so/Check-spend-1517dee22b1780c793edf3d1a69a4cc9?pvs=21),Google Merchant Center (https://www.notion.so/Google-Merchant-Center-14e7dee22b1780d18565d6ea0b5fd1d7?pvs=21)
